transaction_id,date,description,category,amount,transaction_type,balance,merchant,payment_method,financial_stress
4516a014-9ea2-4391-8eac-e24f7c03bbfa,2023-01-01,Groceries,Groceries,30.17,debit,14969.83,SuperMart,UPI,High
63f5c5e1-dc2e-4528-b76c-27edcc25335e,2023-01-01,Groceries,Groceries,101.57,debit,14868.26,SuperMart,Credit Card,High
1292b2c4-c752-4f0a-b77f-59df2788216c,2023-01-02,Transport,Transport,16.1,debit,14852.16,Uber,UPI,High
af9792f8-be27-4ab6-a9b4-e1cd21dde2d3,2023-01-03,Transport,Transport,11.72,debit,14840.44,Uber,Credit Card,High
3b247cb8-c142-4052-9ba3-fe3f181b22f4,2023-01-03,Shopping,Shopping,29.67,debit,14810.77,Amazon,Credit Card,High
228e2351-c5cb-4bfb-8fbd-22aa445ca3f2,2023-01-03,Dining,Dining,43.8,debit,14766.970000000001,Restaurant,UPI,High
cfb576e0-8a51-41c1-9f61-66e7c3da4783,2023-01-03,Groceries,Groceries,12.26,debit,14754.710000000001,SuperMart,UPI,High
f12ea640-ef0d-4b21-bb9e-b3672cedd95f,2023-01-04,Groceries,Groceries,27.16,debit,14727.550000000001,SuperMart,Credit Card,High
133a22c7-fbfa-47f2-9b7a-cba5e9da6f88,2023-01-04,Groceries,Groceries,76.12,debit,14651.43,SuperMart,UPI,High
ea91b6b0-02a2-4e0d-8c98-6e3fdd3ddbfc,2023-01-04,Dining,Dining,32.95,debit,14618.48,Restaurant,Credit Card,High
6407be61-31d8-4614-b3b0-ee5e5bfd6319,2023-01-05,Monthly Salary,Income,6000.0,credit,20618.48,Employer Inc.,Bank Transfer,High
2dda7cc4-a611-4c35-afff-6580eebc8646,2023-01-05,Groceries,Groceries,105.28,debit,20513.2,SuperMart,UPI,High
93c0db54-a743-4456-9e69-2b8b87cf978b,2023-01-05,Dining,Dining,15.44,debit,20497.760000000002,Restaurant,Credit Card,High
f9af7bb7-5388-4bfe-9f70-3d482d121932,2023-01-06,Entertainment,Entertainment,250.0,debit,20247.760000000002,Cinema,Auto Debit,High
8a3cbb99-b8e3-4744-ae43-6e6b46952dbb,2023-01-06,Transport,Transport,36.0,debit,20211.760000000002,Uber,Debit Card,High
e0eb73ad-2570-4e42-97e9-fc9c273d0028,2023-01-07,Groceries,Groceries,33.36,debit,20178.4,SuperMart,Credit Card,High
f7ed1151-bf8d-4c70-b906-f6f0fd6f4b1d,2023-01-07,Utilities,Utilities,250.0,debit,19928.4,City Utilities,Auto Debit,High
84daea05-3fd3-4aba-a93a-e760d9c7891a,2023-01-08,Transport,Transport,34.76,debit,19893.640000000003,Uber,Debit Card,High
b10444d4-c6fa-47fc-9dd5-1fdb13d188fb,2023-01-08,Shopping,Shopping,74.53,debit,19819.110000000004,Amazon,Credit Card,High
a5662bf0-7ff6-4eb8-9816-2c7e52ac967d,2023-01-08,Shopping,Shopping,32.77,debit,19786.340000000004,Amazon,UPI,High
1abb999d-9799-4d0d-9fcd-507fe497ff7c,2023-01-08,Shopping,Shopping,28.99,debit,19757.350000000002,Amazon,Credit Card,High
aedb5c51-c19f-49b7-ae0f-a61b3629ebc2,2023-01-08,Groceries,Groceries,16.39,debit,19740.960000000003,SuperMart,Credit Card,High
65d5f265-0233-476b-bb9c-f919a1fe60d9,2023-01-09,Dining,Dining,33.99,debit,19706.97,Restaurant,Credit Card,High
0bc163aa-7a08-4c9c-842b-7e2efc285402,2023-01-09,Shopping,Shopping,23.72,debit,19683.25,Amazon,UPI,High
2b004d60-39b8-4eb5-80cb-1955b55c3743,2023-01-10,Transport,Transport,25.23,debit,19658.02,Uber,UPI,High
f925db25-a82b-4e4c-9b09-62c41303506d,2023-01-11,Dining,Dining,23.97,debit,19634.05,Restaurant,Debit Card,High
c07a228d-3e32-43bd-bfec-0a740be1e359,2023-01-11,Shopping,Shopping,37.21,debit,19596.84,Amazon,Credit Card,High
7ea1d8cc-6e38-4d51-91ae-f2d9b1eb9eda,2023-01-12,Transport,Transport,37.34,debit,19559.5,Uber,Credit Card,High
941086af-57a1-47f9-8fed-cc03d086bc4e,2023-01-12,Dining,Dining,38.01,debit,19521.49,Restaurant,Debit Card,High
3ff6fe08-cff2-4563-a01b-e6dbc38042a6,2023-01-13,Dining,Dining,68.99,debit,19452.5,Restaurant,Credit Card,High
d8070b03-6883-4798-9581-ea44b1f9c027,2023-01-13,Transport,Transport,22.94,debit,19429.56,Uber,Debit Card,High
268af7a4-add3-4bdc-b7bf-0174ff2fc089,2023-01-13,Shopping,Shopping,34.97,debit,19394.59,Amazon,Debit Card,High
3431acf7-33e5-42c9-ad21-175ff8d39677,2023-01-14,Groceries,Groceries,116.69,debit,19277.9,SuperMart,Credit Card,High
8c59bbc9-0c1e-4e2f-bccb-aaa309ca7a5a,2023-01-14,Dining,Dining,11.38,debit,19266.52,Restaurant,Credit Card,High
971c701d-6b5c-4fc6-a214-e2579058ef33,2023-01-15,Shopping,Shopping,16.19,debit,19250.33,Amazon,Debit Card,High
